15:22:04   28.05.2013              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.1998 00:00  -  31.12.2012 23:50 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
    32	Payerne                  490 m.?.M.	562150/ 184855
Anzahl Parameter  3
   211  Lufttemperatur 2 m über Boden; Tagesmittel  [°C]
   224  Globalstrahlung; Tagesmittel  [W/m²]
   237  Niederschlag; Kalendertag  [mm]

  STA JAHR MO TG HH MM   211   224   237
   32 1998 12 20  0  0   0.7    12   1.1 
   32 1998 12 21  0  0  -0.7    50   0.0 
   32 1998 12 22  0  0  -4.3    66   0.0 
   32 1998 12 23  0  0  -5.0    56   0.0 
   32 1998 12 24  0  0  -1.3    17   2.7 
   32 1998 12 25  0  0  -2.5    42   0.0 
   32 1998 12 26  0  0   2.2    40   0.0 
   32 1998 12 27  0  0   7.9    38   0.0 
   32 1998 12 28  0  0   5.5    61   0.0 
   32 1998 12 29  0  0   1.4    64   0.0 
   32 1998 12 30  0  0  -2.1    45   0.0 
   32 1998 12 31  0  0  -1.8    29   0.0 
   32 1999  1  1  0  0  -0.5    28   0.0 
   32 1999  1  2  0  0   0.6    39   1.1 
   32 1999  1  3  0  0   5.8    24   0.8 
   32 1999  1  4  0  0   9.0    38   0.5 
   32 1999  1  5  0  0   4.8    61   0.1 
   32 1999  1  6  0  0   1.2    70   0.0 
   32 1999  1  7  0  0   6.1    49   0.2 
   32 1999  1  8  0  0   7.0    22   5.2 
   32 1999  1  9  0  0   3.4    31   0.4 
   32 1999  1 10  0  0   0.6    15   0.0 
   32 1999  1 11  0  0   0.5     8   2.4 
   32 1999  1 12  0  0  -1.4    38   0.0 
   32 1999  1 13  0  0   0.7    36   0.8 
   32 1999  1 14  0  0   2.0    28   0.2 
   32 1999  1 15  0  0   1.5    74   0.0 
   32 1999  1 16  0  0   5.6    73   0.0 
   32 1999  1 17  0  0   1.2    57   0.0 
   32 1999  1 18  0  0   2.6    53   0.0 
   32 1999  1 19  0  0  -0.6    35   0.0 
   32 1999  1 20  0  0  -2.0    36   0.0 
   32 1999  1 21  0  0  -2.9    36   0.0 
   32 1999  1 22  0  0  -3.0    28   0.0 
   32 1999  1 23  0  0  -2.5    30   0.0 
   32 1999  1 24  0  0  -2.2    33   0.0 
   32 1999  1 25  0  0   1.6    55   0.0 
   32 1999  1 26  0  0   6.1    14   3.8 
   32 1999  1 27  0  0   2.7    22   3.3 
   32 1999  1 28  0  0   2.4    15  10.4 
   32 1999  1 29  0  0   0.4    35   1.3 
   32 1999  1 30  0  0  -4.2    90   0.0 
   32 1999  1 31  0  0  -5.2    91   0.0 
   32 1999  2  1  0  0  -4.9    94   0.0 
   32 1999  2  2  0  0  -1.5    71   0.0 
   32 1999  2  3  0  0   0.2    76   0.0 
   32 1999  2  4  0  0   3.4    90   0.0 
   32 1999  2  5  0  0   3.7    20   5.9 
   32 1999  2  6  0  0   2.0    25   8.9 
   32 1999  2  7  0  0   1.4    28   5.4 
   32 1999  2  8  0  0  -2.1    64   8.0 
   32 1999  2  9  0  0   0.4    17  12.9 
   32 1999  2 10  0  0  -4.6   106   0.1 
   32 1999  2 11  0  0  -4.7    98   0.2 
   32 1999  2 12  0  0  -7.5   124   0.0 
   32 1999  2 13  0  0  -7.1   120   0.0 
   32 1999  2 14  0  0  -5.8   101   0.0 
   32 1999  2 15  0  0  -4.6   124   0.0 
   32 1999  2 16  0  0   0.8    37   0.0 
   32 1999  2 17  0  0   1.6    29   1.8 
   32 1999  2 18  0  0   2.1    35   1.8 
   32 1999  2 19  0  0   5.0    42   2.2 
   32 1999  2 20  0  0   5.9    35   6.8 
   32 1999  2 21  0  0   7.0    28   9.5 
   32 1999  2 22  0  0   2.7    53  13.3 
   32 1999  2 23  0  0   0.4    98   1.9 
   32 1999  2 24  0  0   0.9    54   0.4 
   32 1999  2 25  0  0   1.2    78   0.2 
   32 1999  2 26  0  0   0.8    94   0.0 
   32 1999  2 27  0  0   2.3   114   0.0 
   32 1999  2 28  0  0   3.7    32   1.0 
   32 1999  3  1  0  0   4.5    87   0.3 
   32 1999  3  2  0  0   9.4    94   0.0 
   32 1999  3  3  0  0   9.1    87   0.0 
   32 1999  3  4  0  0   1.9    18  24.5 
   32 1999  3  5  0  0   2.7   100   2.1 
   32 1999  3  6  0  0   2.2    72   0.0 
   32 1999  3  7  0  0   1.6   131   0.1 
   32 1999  3  8  0  0   1.2    80   5.5 
   32 1999  3  9  0  0   8.9   126   0.2 
   32 1999  3 10  0  0   8.1    60   0.2 
   32 1999  3 11  0  0   5.7    63   0.0 
   32 1999  3 12  0  0   6.5   106   0.0 
   32 1999  3 13  0  0   8.5   166   0.0 
   32 1999  3 14  0  0   9.0   152   0.0 
   32 1999  3 15  0  0   9.5   176   0.0 
   32 1999  3 16  0  0   8.1   136   0.0 
   32 1999  3 17  0  0   5.2   181   0.0 
   32 1999  3 18  0  0   4.4   189   0.0 
   32 1999  3 19  0  0   3.4    44   0.1 
   32 1999  3 20  0  0   3.1   165   0.0 
   32 1999  3 21  0  0   5.6   156   2.2 
   32 1999  3 22  0  0   5.0    62   2.0 
   32 1999  3 23  0  0   4.8    55   0.4 
   32 1999  3 24  0  0   4.9   190   0.5 
   32 1999  3 25  0  0   7.8   111   0.0 
   32 1999  3 26  0  0   9.0   130   4.6 
   32 1999  3 27  0  0   4.7    26   4.0 
   32 1999  3 28  0  0   4.3    56   0.0 
   32 1999  3 29  0  0   4.5   128   0.0 
   32 1999  3 30  0  0   5.5   201   0.0 
   32 1999  3 31  0  0   7.5   207   0.0 
   32 1999  4  1  0  0   9.0   214   0.0 
   32 1999  4  2  0  0  10.8   169   0.0 
   32 1999  4  3  0  0  11.3   148   0.0 
   32 1999  4  4  0  0  11.7   101   2.4 
   32 1999  4  5  0  0  10.4   200   0.0 
   32 1999  4  6  0  0  13.0   212   0.1 
   32 1999  4  7  0  0   8.4    68  28.5 
   32 1999  4  8  0  0   7.7   119   0.6 
   32 1999  4  9  0  0   8.0   190   0.0 
   32 1999  4 10  0  0   8.8   242   0.0 
   32 1999  4 11  0  0   7.9    57   1.7 
   32 1999  4 12  0  0   5.3    83   7.2 
   32 1999  4 13  0  0   5.7   120   5.9 
   32 1999  4 14  0  0   7.5   199   0.0 
   32 1999  4 15  0  0   1.1    33  10.4 
   32 1999  4 16  0  0   1.7    60   3.7 
   32 1999  4 17  0  0   3.9   208   0.0 
   32 1999  4 18  0  0   3.8    74   3.9 
   32 1999  4 19  0  0   4.8   128   6.2 
   32 1999  4 20  0  0   5.8   123   2.3 
   32 1999  4 21  0  0   9.0    79  11.2 
   32 1999  4 22  0  0  11.1   256   0.3 
   32 1999  4 23  0  0   8.8   206   0.4 
   32 1999  4 24  0  0   9.1   107   0.0 
   32 1999  4 25  0  0  10.2   243   0.0 
   32 1999  4 26  0  0  11.5   170   4.7 
   32 1999  4 27  0  0  12.2   223   6.8 
   32 1999  4 28  0  0  11.6   129   0.0 
   32 1999  4 29  0  0  12.6   157   1.0 
   32 1999  4 30  0  0  12.6   156   1.2 
   32 1999  5  1  0  0  14.8   261   0.0 
   32 1999  5  2  0  0  14.2   231   0.0 
   32 1999  5  3  0  0  16.1   228   0.0 
   32 1999  5  4  0  0  14.8   129   0.0 
   32 1999  5  5  0  0  15.7   169   0.7 
   32 1999  5  6  0  0  16.3   265   0.3 
   32 1999  5  7  0  0  15.9   260   0.9 
   32 1999  5  8  0  0  13.1    65  15.2 
   32 1999  5  9  0  0  13.7   228   0.0 
   32 1999  5 10  0  0  15.7   186   1.3 
   32 1999  5 11  0  0  14.7    76  14.3 
   32 1999  5 12  0  0  15.9    73  12.2 
   32 1999  5 13  0  0  17.4   214   3.0 
   32 1999  5 14  0  0  13.0    42  24.2 
   32 1999  5 15  0  0  12.8   144   0.0 
   32 1999  5 16  0  0  13.2   312   0.0 
   32 1999  5 17  0  0  10.3    73   1.6 
   32 1999  5 18  0  0  13.9   257   0.0 
   32 1999  5 19  0  0  13.0   137   8.9 
   32 1999  5 20  0  0  11.2   107   6.0 
